State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
TX,ANDREWS,1,0,1,3.0,3.0
KY,ADAIR,1,0,1,3.0,3.0
NE,CHEYENNE,1,100,0,3.0,3.0
NC,SAMPSON,1,0,1,2.0,2.0
VA,HALIFAX,1,100,1,4.0,4.0
ID,WASHINGTON,1,0,0,nan,nan
MO,AUDRAIN,1,100,1,4.0,4.0
AL,PIKE,1,0,1,2.0,2.0
KS,GEARY,1,0,1,3.0,3.0
CO,KIOWA,1,0,0,nan,nan
MT,SANDERS,1,100,0,nan,nan
VA,CHESAPEAKE CITY,1,0,1,2.0,2.0
NC,MARTIN,1,0,1,2.0,2.0
NC,BUNCOMBE,1,100,1,5.0,5.0
CO,HUERFANO,1,0,0,3.0,3.0
NE,CHERRY,1,0,0,4.0,4.0
OK,LOGAN,1,100,0,4.0,4.0
MI,BARRY,1,0,1,2.0,2.0
MN,MARSHALL,1,100,0,nan,nan
NY,LIVINGSTON,1,100,1,3.0,3.0
SD,GRANT,1,100,0,nan,nan
TN,HARDIN,1,0,1,3.0,3.0
NC,ALLEGHANY,1,100,0,nan,nan
SC,FAIRFIELD,1,0,0,nan,nan
TX,KERR,1,100,1,4.0,4.0
TX,CRANE,1,0,0,nan,nan
MS,PERRY,1,0,0,nan,nan
SC,UNION,1,0,1,nan,nan
NM,GUADALUPE,1,0,1,nan,nan
WA,FERRY,1,0,0,nan,nan
IL,UNION,1,0,0,4.0,4.0
CO,ARCHULETA,1,0,0,nan,nan
KY,BOYLE,1,100,1,3.0,3.0
NE,WAYNE,1,100,0,3.0,3.0
FL,OKEECHOBEE,1,0,1,2.0,2.0
CO,KIT CARSON,1,0,0,nan,nan
AR,BAXTER,1,100,1,2.0,2.0
GA,DOUGHERTY,1,0,1,2.0,2.0
GA,BARROW,1,0,1,3.0,3.0
OK,HARMON,1,0,0,nan,nan
TX,STARR,1,0,1,2.0,2.0
CO,LOGAN,1,100,1,4.0,4.0
CA,TUOLUMNE,1,0,1,2.0,2.0
MI,CLINTON,1,0,0,4.0,4.0
IA,AUDUBON,1,0,0,nan,nan
IN,NOBLE,1,100,1,4.0,4.0
FL,CALHOUN,1,100,0,nan,nan
OK,KINGFISHER,1,100,0,4.0,4.0
WI,IOWA,1,100,0,5.0,5.0
MO,CAMDEN,1,0,1,3.0,3.0
PA,BEDFORD,1,0,1,4.0,4.0
WA,KITTITAS,1,0,0,3.0,3.0
MN,NORMAN,1,100,0,nan,nan
ID,FRANKLIN,1,0,0,nan,nan
WI,CALUMET,1,100,0,nan,nan
TX,REFUGIO,1,0,0,nan,nan
MA,DUKES,1,100,0,4.0,4.0
WV,NICHOLAS,1,0,1,2.0,2.0
KY,LAUREL,1,100,1,3.0,3.0
ID,CLEARWATER,1,100,0,3.0,3.0
AR,GREENE,1,100,1,1.0,1.0
GA,PICKENS,1,0,1,3.0,3.0
TN,HENDERSON,1,0,1,4.0,4.0
TX,BASTROP,1,0,1,4.0,4.0
TX,BEE,1,0,1,3.0,3.0
SD,BEADLE,1,100,0,nan,nan
GA,COFFEE,1,0,1,3.0,3.0
LA,WEST CARROLL,1,0,1,3.0,3.0
OR,JEFFERSON,1,100,0,4.0,4.0
AR,LAWRENCE,1,0,0,nan,nan
GA,EMANUEL,1,0,1,4.0,4.0
TX,JASPER,1,0,1,4.0,4.0
IN,SCOTT,1,0,0,4.0,4.0
KS,COMANCHE,1,0,0,nan,nan
MS,TATE,1,0,1,3.0,3.0
OH,DARKE,1,100,1,3.0,3.0
NE,MORRILL,1,0,0,nan,nan
KY,LETCHER,1,0,1,3.0,3.0
IA,HOWARD,1,0,0,nan,nan
MT,POWELL,1,100,0,nan,nan
GA,PEACH,1,0,0,3.0,3.0
NE,ADAMS,1,0,1,4.0,4.0
AL,GREENE,1,0,1,3.0,3.0
FL,HARDEE,1,100,0,4.0,4.0
IA,JONES,1,100,0,4.0,4.0
ID,BOUNDARY,1,0,0,nan,nan
NE,BOONE,1,0,0,4.0,4.0
OH,KNOX,1,0,1,3.0,3.0
ID,MINIDOKA,1,0,0,nan,nan
WA,FRANKLIN,1,0,0,3.0,3.0
OH,CLINTON,1,0,1,3.0,3.0
MS,SMITH,1,0,1,nan,nan
WY,JOHNSON,1,0,0,nan,nan
NC,CABARRUS,1,0,1,3.0,3.0
LA,SABINE,1,0,1,2.0,2.0
NE,BUTLER,1,0,0,4.0,4.0
CO,WELD,1,100,1,4.0,4.0
MI,MACKINAC,1,100,0,4.0,4.0
WI,JUNEAU,1,0,1,3.0,3.0
ND,RAMSEY,1,100,0,4.0,4.0
FL,FLAGLER,1,0,1,2.0,2.0
TN,HARDEMAN,1,0,1,3.0,3.0
OK,GREER,1,0,0,nan,nan
NV,PERSHING,1,0,0,nan,nan
ID,BUTTE,1,0,0,nan,nan
LA,LINCOLN,1,0,1,1.0,1.0
KS,MARSHALL,1,100,0,3.0,3.0
TX,SAN PATRICIO,1,0,1,4.0,4.0
KY,HOPKINS,1,100,1,2.0,2.0
NH,BELKNAP,1,100,1,2.0,2.0
AL,WALKER,1,100,1,4.0,4.0
TN,FENTRESS,1,0,1,4.0,4.0
MS,ATTALA,1,0,0,3.0,3.0
GA,TATTNALL,1,0,0,nan,nan
OR,CURRY,1,0,0,2.0,2.0
TX,BOSQUE,1,0,0,nan,nan
AR,RANDOLPH,1,100,1,4.0,4.0
IN,BLACKFORD,1,100,0,4.0,4.0
MS,TISHOMINGO,1,100,1,4.0,4.0
MS,COVINGTON,1,0,0,2.0,2.0
IL,RICHLAND,1,100,1,3.0,3.0
MI,ARENAC,1,0,0,4.0,4.0
WI,PORTAGE,1,0,1,5.0,5.0
PA,WAYNE,1,100,1,2.0,2.0
MS,LOWNDES,1,100,1,2.0,2.0
TX,TRINITY,1,100,1,3.0,3.0
UT,UINTAH,1,0,1,3.0,3.0
NC,PENDER,1,0,0,nan,nan
MO,LAFAYETTE,1,0,0,3.0,3.0
MI,OSCEOLA,1,100,0,4.0,4.0
PA,WARREN,1,100,1,3.0,3.0
NE,HALL,1,0,1,4.0,4.0
KS,KIOWA,1,0,0,nan,nan
OR,HOOD RIVER,1,0,0,4.0,4.0
MI,BENZIE,1,0,0,nan,nan
TX,LYNN,1,0,0,nan,nan
MI,IONIA,1,100,0,4.0,4.0
PR,UTUADO,1,0,1,nan,nan
NC,CHATHAM,1,100,0,nan,nan
VA,MECKLENBURG,1,100,1,2.0,2.0
KY,JOHNSON,1,0,1,4.0,4.0
MT,CARBON,1,100,0,nan,nan
AL,MORGAN,1,0,1,2.0,2.0
ID,CARIBOU,1,0,0,nan,nan
SC,CHEROKEE,1,100,1,2.0,2.0
OR,UNION,1,100,0,3.0,3.0
WY,WESTON,1,0,0,nan,nan
IA,BENTON,1,100,0,nan,nan
GA,CLINCH,1,0,0,nan,nan
TN,COCKE,1,0,1,3.0,3.0
NY,FULTON,1,100,1,4.0,4.0
WV,MORGAN,1,100,0,4.0,4.0
OH,PAULDING,1,0,0,3.0,3.0
TX,GRAY,1,100,1,4.0,4.0
MN,GRANT,1,100,0,nan,nan
WV,HANCOCK,1,0,1,3.0,3.0
TN,LOUDON,1,0,1,4.0,4.0
IA,FREMONT,1,0,0,nan,nan
NC,ORANGE,1,0,1,2.0,2.0
ND,MERCER,1,100,0,nan,nan
IN,JASPER,1,100,0,3.0,3.0
OR,KLAMATH,1,100,1,3.0,3.0
KY,BARREN,1,0,1,2.0,2.0
OK,ROGER MILLS,1,0,0,nan,nan
WI,GREEN,1,100,1,5.0,5.0
TX,VAL VERDE,1,0,1,3.0,3.0
TN,PERRY,1,0,1,2.0,2.0
OK,MAYES,1,0,1,3.0,3.0
KS,HASKELL,1,0,0,nan,nan
MO,SAINT CLAIR,1,0,0,nan,nan
IL,SCHUYLER,1,0,0,nan,nan
PR,LARES,1,100,1,nan,nan
IN,PUTNAM,1,0,0,4.0,4.0
OH,FAYETTE,1,0,0,3.0,3.0
KS,DECATUR,1,0,0,nan,nan
TX,HEMPHILL,1,0,1,nan,nan
TX,REEVES,1,0,0,3.0,3.0
MN,LAKE OF THE WOODS,1,0,0,nan,nan
AZ,GRAHAM,1,0,1,3.0,3.0
WV,BRAXTON,1,100,0,nan,nan
TX,ANDERSON,1,0,1,3.0,3.0
AL,DE KALB,1,0,1,3.0,3.0
ME,WALDO,1,100,0,4.0,4.0
NC,DUPLIN,1,0,1,3.0,3.0
IN,GRANT,1,100,1,3.0,3.0
GA,CHATTOOGA,1,0,1,5.0,5.0
NM,LOS ALAMOS,1,0,1,3.0,3.0
IA,LUCAS,1,0,0,4.0,4.0
IL,WAYNE,1,100,0,3.0,3.0
CA,GLENN,1,0,0,nan,nan
OK,LE FLORE,1,0,0,nan,nan
FL,UNION,1,0,0,nan,nan
SD,LAKE,1,100,0,nan,nan
IA,VAN BUREN,1,0,0,nan,nan
VA,LANCASTER,1,100,0,nan,nan
ID,LATAH,1,100,0,4.0,4.0
MO,BATES,1,0,1,3.0,3.0
ID,GEM,1,0,0,nan,nan
OK,NOBLE,1,0,1,3.0,3.0
NC,LINCOLN,1,0,1,4.0,4.0
KY,CALDWELL,1,0,0,2.0,2.0
NE,JEFFERSON,1,100,0,4.0,4.0
IA,GUTHRIE,1,0,0,3.0,3.0
OK,MUSKOGEE,1,0,1,2.0,2.0
UT,WASATCH,1,100,0,4.0,4.0
OK,STEPHENS,1,100,1,3.0,3.0
IL,OGLE,1,100,0,4.0,4.0
IN,CLINTON,1,0,0,4.0,4.0
WA,ISLAND,1,0,0,3.0,3.0
WY,UINTA,1,0,1,3.0,3.0
MI,NEWAYGO,1,100,0,4.0,4.0
TN,HAWKINS,1,100,1,4.0,4.0
CT,MIDDLESEX,1,100,1,4.0,4.0
MN,RICE,1,100,1,4.0,4.0
NE,NANCE,1,0,0,nan,nan
WI,BURNETT,1,100,0,nan,nan
OK,LOVE,1,0,0,nan,nan
MO,WASHINGTON,1,0,0,2.0,2.0
NM,SOCORRO,1,0,0,nan,nan
TN,OVERTON,1,0,1,2.0,2.0
CO,ALAMOSA,1,100,1,4.0,4.0
MN,KANDIYOHI,1,0,1,4.0,4.0
NC,NASH,1,0,1,1.0,1.0
GA,DODGE,1,0,1,4.0,4.0
IL,JERSEY,1,0,1,4.0,4.0
TX,SCHLEICHER,1,0,0,nan,nan
ND,CAVALIER,1,100,0,nan,nan
SD,DAVISON,1,100,1,5.0,5.0
WV,MINERAL,1,100,0,4.0,4.0
AR,POLK,1,0,1,3.0,3.0
NE,WEBSTER,1,0,0,nan,nan
NC,BLADEN,1,100,0,3.0,3.0
SC,CHESTERFIELD,1,100,1,3.0,3.0
OK,SEQUOYAH,1,0,1,4.0,4.0
TX,TERRY,1,0,1,3.0,3.0
MO,MARION,1,100,1,2.0,2.0
NJ,CAPE MAY,1,100,1,3.0,3.0
GA,CAMDEN,1,0,1,3.0,3.0
MO,JOHNSON,1,0,1,3.0,3.0
MA,FRANKLIN,1,100,1,3.0,3.0
OK,MARSHALL,1,0,0,3.0,3.0
UT,DUCHESNE,1,0,1,4.0,4.0
NC,WASHINGTON,1,0,0,nan,nan
VA,EMPORIA CITY,1,0,1,2.0,2.0
TX,FLOYD,1,0,0,nan,nan
AK,NORTHWEST ARCTIC,1,0,0,nan,nan
MT,PRAIRIE,1,0,0,nan,nan
MS,CLAY,1,100,1,4.0,4.0
ID,JEROME,1,100,0,nan,nan
NV,MINERAL,1,0,0,2.0,2.0
GA,HENRY,1,0,1,1.0,1.0
TX,GAINES,1,0,0,nan,nan
GA,ELBERT,1,0,1,3.0,3.0
MN,POPE,1,0,0,4.0,4.0
NC,VANCE,1,0,1,2.0,2.0
PR,CAROLINA,1,0,1,nan,nan
ID,GOODING,1,100,0,5.0,5.0
SC,AIKEN,1,0,1,2.0,2.0
NE,PAWNEE,1,0,0,nan,nan
GA,LAURENS,1,0,1,4.0,4.0
AL,SUMTER,1,0,1,nan,nan
MS,STONE,1,0,0,nan,nan
TX,EASTLAND,1,0,1,4.0,4.0
LA,WEST FELICIANA,1,0,0,nan,nan
MT,FALLON,1,100,0,nan,nan
AL,MONROE,1,0,1,3.0,3.0
SC,YORK,1,0,1,1.0,1.0
AL,WINSTON,1,0,1,5.0,5.0
OR,JOSEPHINE,1,0,1,5.0,5.0
KS,COFFEY,1,0,1,5.0,5.0
WA,SAN JUAN,1,100,0,3.0,3.0
TN,MAURY,1,0,1,3.0,3.0
NV,NYE,1,0,0,4.0,4.0
NC,ANSON,1,0,1,nan,nan
TN,BLOUNT,1,0,1,3.0,3.0
MI,BAY,1,100,1,3.0,3.0
GA,BACON,1,0,0,4.0,4.0
TX,SOMERVELL,1,0,1,5.0,5.0
AR,BOONE,1,0,1,4.0,4.0
WI,PIERCE,1,100,0,4.0,4.0
NY,GENESEE,1,100,1,3.0,3.0
ND,TOWNER,1,100,0,nan,nan
IL,FORD,1,100,0,3.0,3.0
IL,EFFINGHAM,1,0,1,4.0,4.0
VA,WINCHESTER CITY,1,100,1,3.0,3.0
CO,RIO GRANDE,1,100,0,4.0,4.0
WI,WAUPACA,1,100,0,2.0,2.0
SD,HUGHES,1,100,1,4.0,4.0
MS,TIPPAH,1,0,0,4.0,4.0
TX,MARTIN,1,0,0,nan,nan
GA,PUTNAM,1,0,0,3.0,3.0
WV,WETZEL,1,0,1,4.0,4.0
IA,EMMET,1,0,0,4.0,4.0
MI,GRAND TRAVERSE,1,0,1,4.0,4.0
OK,HARPER,1,0,0,nan,nan
TX,AUSTIN,1,0,1,3.0,3.0
IL,IROQUOIS,1,100,1,2.0,2.0
KY,CASEY,1,0,0,2.0,2.0
FL,GADSDEN,1,0,1,nan,nan
NC,PERSON,1,0,1,3.0,3.0
KY,CRITTENDEN,1,0,1,3.0,3.0
MS,COAHOMA,1,0,1,2.0,2.0
WI,CLARK,1,0,0,nan,nan
KY,MERCER,1,0,0,nan,nan
LA,DE SOTO,1,100,1,3.0,3.0
GA,CANDLER,1,0,0,nan,nan
NC,DAVIE,1,100,1,nan,nan
SD,HAAKON,1,100,0,nan,nan
KS,MEADE,1,0,0,nan,nan
NC,PITT,1,100,1,3.0,3.0
TN,BRADLEY,1,0,1,1.0,1.0
MN,NICOLLET,1,0,0,nan,nan
NE,KEITH,1,0,0,3.0,3.0
VT,WASHINGTON,1,100,1,4.0,4.0
KY,GRAVES,1,0,1,3.0,3.0
PA,ELK,1,100,0,4.0,4.0
NC,ROCKINGHAM,1,100,1,3.0,3.0
OR,POLK,1,100,0,nan,nan
TX,LLANO,1,100,1,3.0,3.0
AK,DILLINGHAM,1,100,0,nan,nan
IN,RANDOLPH,1,100,0,4.0,4.0
VA,ALBEMARLE,1,100,1,5.0,5.0
NV,LYON,1,0,0,nan,nan
OK,WAGONER,1,0,1,3.0,3.0
NC,CHOWAN,1,0,0,3.0,3.0
NC,TRANSYLVANIA,1,100,0,4.0,4.0
MI,HILLSDALE,1,100,1,3.0,3.0
NM,SAN MIGUEL,1,0,1,3.0,3.0
KS,OSBORNE,1,0,0,nan,nan
OK,PAWNEE,1,0,0,nan,nan
MD,KENT,1,100,1,2.0,2.0
OK,HASKELL,1,0,0,2.0,2.0
GA,IRWIN,1,0,1,3.0,3.0
GA,CLAYTON,1,100,1,1.0,1.0
SD,DEWEY,1,0,1,nan,nan
TX,MOORE,1,0,0,nan,nan
MI,MECOSTA,1,0,1,4.0,4.0
KY,OLDHAM,1,100,1,4.0,4.0
NE,DAWES,1,100,0,4.0,4.0
TX,ERATH,1,100,1,3.0,3.0
NE,FRANKLIN,1,0,0,nan,nan
IA,IDA,1,100,0,4.0,4.0
MN,STEVENS,1,100,0,3.0,3.0
MO,FRANKLIN,1,100,1,5.0,5.0
NC,GRANVILLE,1,0,1,2.0,2.0
IA,DELAWARE,1,0,0,4.0,4.0
AK,FAIRBANKS NORTH STAR,1,0,1,4.0,4.0
KS,RUSSELL,1,100,0,nan,nan
TX,RUSK,1,100,1,3.0,3.0
ND,BOWMAN,1,100,0,nan,nan
IN,HUNTINGTON,1,100,1,4.0,4.0
TN,ROBERTSON,1,0,1,3.0,3.0
NY,CAYUGA,1,100,1,1.0,1.0
OH,ERIE,1,100,1,4.0,4.0
IL,CLAY,1,0,0,2.0,2.0
TX,GILLESPIE,1,100,1,5.0,5.0
IA,HARDIN,1,0,0,nan,nan
MN,LE SUEUR,1,100,0,nan,nan
KY,SHELBY,1,100,1,3.0,3.0
IA,MONROE,1,0,0,3.0,3.0
TX,HUTCHINSON,1,0,0,4.0,4.0
AL,CULLMAN,1,0,1,2.0,2.0
MI,ALLEGAN,1,0,0,4.0,4.0
NM,COLFAX,1,0,0,3.0,3.0
IA,RINGGOLD,1,0,0,nan,nan
MO,CRAWFORD,1,100,0,3.0,3.0
KS,EDWARDS,1,0,0,nan,nan
NV,DOUGLAS,1,100,0,3.0,3.0
TN,MONROE,1,100,1,3.0,3.0
OH,WOOD,1,100,1,4.0,4.0
IA,DICKINSON,1,0,1,4.0,4.0
MT,PHILLIPS,1,100,0,nan,nan
IA,JEFFERSON,1,0,0,3.0,3.0
TX,DIMMIT,1,0,1,nan,nan
IA,CLAY,1,0,1,4.0,4.0
IA,MONONA,1,100,0,3.0,3.0
TX,LAMPASAS,1,0,0,3.0,3.0
MO,BARTON,1,0,0,4.0,4.0
MI,EMMET,1,0,1,5.0,5.0
MS,WALTHALL,1,0,0,nan,nan
IL,LIVINGSTON,1,0,1,4.0,4.0
IA,WAPELLO,1,0,1,3.0,3.0
TX,BROWN,1,0,1,2.0,2.0
ND,SIOUX,1,0,1,nan,nan
IA,MADISON,1,0,0,nan,nan
CO,TELLER,1,100,0,nan,nan
MS,WILKINSON,1,0,0,2.0,2.0
SD,WALWORTH,1,100,0,4.0,4.0
OH,LAWRENCE,1,0,1,nan,nan
KY,CHRISTIAN,1,100,1,2.0,2.0
WY,CARBON,1,0,0,nan,nan
FL,WASHINGTON,1,100,0,nan,nan
KY,ALLEN,1,100,0,nan,nan
OH,GEAUGA,1,100,1,4.0,4.0
MO,CARROLL,1,100,0,nan,nan
MO,GRUNDY,1,100,0,3.0,3.0
ND,STUTSMAN,1,100,0,4.0,4.0
TX,HUNT,1,0,1,2.0,2.0
MN,MAHNOMEN,1,0,0,nan,nan
NV,CHURCHILL,1,0,0,nan,nan
WV,CALHOUN,1,100,0,3.0,3.0
GA,MACON,1,0,1,nan,nan
PA,NORTHUMBERLAND,1,0,1,3.0,3.0
MS,CHICKASAW,1,0,1,nan,nan
RI,KENT,1,0,1,3.0,3.0
SC,CLARENDON,1,100,1,nan,nan
TX,CORYELL,1,0,0,4.0,4.0
MO,PEMISCOT,1,0,1,1.0,1.0
MS,PONTOTOC,1,100,0,4.0,4.0
MO,POLK,1,0,1,2.0,2.0
MO,CLINTON,1,100,1,2.0,2.0
KS,SHERIDAN,1,0,0,nan,nan
LA,JACKSON,1,0,0,nan,nan
MT,BLAINE,1,0,0,nan,nan
ID,ELMORE,1,100,0,2.0,2.0
SC,GREENWOOD,1,100,1,3.0,3.0
MT,CARTER,1,100,0,nan,nan
IA,WINNESHIEK,1,0,0,4.0,4.0
MT,STILLWATER,1,100,0,nan,nan
OH,ATHENS,1,0,1,4.0,4.0
WY,CAMPBELL,1,0,1,3.0,3.0
LA,BIENVILLE,1,0,0,nan,nan
WI,SAWYER,1,100,0,4.0,4.0
IA,WASHINGTON,1,0,0,3.0,3.0
SD,CLAY,1,100,0,nan,nan
GA,EFFINGHAM,1,0,0,4.0,4.0
TX,PECOS,1,0,0,nan,nan
ID,BANNOCK,1,0,1,4.0,4.0
WI,ASHLAND,1,100,0,3.0,3.0
CO,LAKE,1,0,0,nan,nan
FL,BRADFORD,1,0,0,2.0,2.0
OK,MAJOR,1,0,0,nan,nan
AL,MARSHALL,1,0,1,2.0,2.0
IL,WABASH,1,0,0,4.0,4.0
NE,BOX BUTTE,1,0,0,4.0,4.0
MT,TETON,1,100,0,nan,nan
ID,SHOSHONE,1,0,0,nan,nan
NY,MONTGOMERY,1,100,1,2.0,2.0
FL,NASSAU,1,0,1,4.0,4.0
SD,TODD,1,0,1,nan,nan
TX,MAVERICK,1,0,1,4.0,4.0
OH,HOCKING,1,0,0,3.0,3.0
KY,GRANT,1,0,0,3.0,3.0
TX,WILBARGER,1,0,1,3.0,3.0
NJ,HUNTERDON,1,100,1,4.0,4.0
TX,UVALDE,1,0,0,nan,nan
VA,ESSEX,1,100,1,4.0,4.0
MS,GREENE,1,0,0,nan,nan
MN,CASS,1,0,0,nan,nan
NE,VALLEY,1,0,0,3.0,3.0
MT,SHERIDAN,1,100,0,nan,nan
NE,POLK,1,0,0,nan,nan
MS,JONES,1,0,1,2.0,2.0
GA,BURKE,1,0,1,nan,nan
MO,PUTNAM,1,0,0,nan,nan
IL,MASSAC,1,0,0,4.0,4.0
MA,NANTUCKET,1,100,1,4.0,4.0
SD,ROBERTS,1,100,0,nan,nan
GA,STEPHENS,1,0,1,4.0,4.0
MS,MARSHALL,1,0,1,3.0,3.0
MS,LEFLORE,1,0,1,1.0,1.0
MN,PENNINGTON,1,100,0,3.0,3.0
TX,WINKLER,1,0,0,nan,nan
WI,LANGLADE,1,0,0,4.0,4.0
AK,MATANUSKA SUSITNA,1,0,1,2.0,2.0
OR,WALLOWA,1,0,0,nan,nan
WV,JEFFERSON,1,100,0,3.0,3.0
KY,FLEMING,1,0,1,3.0,3.0
KS,JACKSON,1,100,0,nan,nan
PA,GREENE,1,100,1,3.0,3.0
VA,NEW KENT,1,0,0,nan,nan
MO,NEW MADRID,1,0,1,4.0,4.0
MN,MURRAY,1,0,0,5.0,5.0
UT,CARBON,1,0,1,4.0,4.0
OR,LAKE,1,0,0,3.0,3.0
CO,CHAFFEE,1,0,0,nan,nan
MD,WASHINGTON,1,100,1,4.0,4.0
GA,LOWNDES,1,0,1,3.0,3.0
IN,DELAWARE,1,100,1,4.0,4.0
IN,HARRISON,1,0,0,4.0,4.0
NY,PUTNAM,1,100,1,3.0,3.0
TX,SWISHER,1,100,0,nan,nan
SC,ABBEVILLE,1,0,0,4.0,4.0
AZ,SANTA CRUZ,1,0,0,nan,nan
GA,SPALDING,1,0,1,2.0,2.0
SC,JASPER,1,0,1,2.0,2.0
TX,CONCHO,1,0,0,nan,nan
NE,KIMBALL,1,0,0,nan,nan
SD,SPINK,1,0,0,nan,nan
NE,KEARNEY,1,0,0,nan,nan
VT,LAMOILLE,1,100,0,2.0,2.0
LA,MOREHOUSE,1,0,1,3.0,3.0
IN,JOHNSON,1,0,1,4.0,4.0
VA,GALAX CITY,1,100,1,2.0,2.0
TX,WISE,1,0,1,2.0,2.0
KY,ROWAN,1,0,1,3.0,3.0
IN,GIBSON,1,100,0,3.0,3.0
WA,WHATCOM,1,0,1,4.0,4.0
GA,JEFFERSON,1,0,1,3.0,3.0
WY,TETON,1,0,1,5.0,5.0
IA,BOONE,1,0,0,3.0,3.0
PR,CAYEY,1,100,1,nan,nan
IN,DECATUR,1,0,0,3.0,3.0
IA,ADAMS,1,100,0,4.0,4.0
LA,CLAIBORNE,1,0,1,4.0,4.0
GA,DECATUR,1,0,1,3.0,3.0
MD,HOWARD,1,100,1,3.0,3.0
SD,CODINGTON,1,100,1,4.0,4.0
IA,MARSHALL,1,100,1,3.0,3.0
TN,HUMPHREYS,1,100,0,3.0,3.0
KS,STAFFORD,1,0,0,nan,nan
AR,WHITE,1,100,1,3.0,3.0
IN,MIAMI,1,100,0,2.0,2.0
SC,COLLETON,1,0,1,3.0,3.0
MN,FREEBORN,1,100,1,5.0,5.0
PA,HUNTINGDON,1,0,1,4.0,4.0
OH,UNION,1,0,1,4.0,4.0
CA,MONO,1,0,0,nan,nan
GA,JEFF DAVIS,1,0,0,3.0,3.0
IN,ADAMS,1,0,0,4.0,4.0
